Date,Close
1/29/1993,25.6118
2/1/1993,25.794
2/2/1993,25.8486
2/3/1993,26.1218
2/4/1993,26.2311
2/5/1993,26.2129
2/8/1993,26.2129
2/9/1993,26.0307
2/10/1993,26.0672
2/11/1993,26.1947
2/12/1993,25.9943
2/16/1993,25.3385
2/17/1993,25.3203
2/18/1993,25.3021
2/19/1993,25.3932
2/22/1993,25.4843
2/23/1993,25.4661
2/24/1993,25.794
2/25/1993,25.8486
2/26/1993,25.885
3/1/1993,25.8121
3/2/1993,26.1947
3/3/1993,26.304
3/4/1993,26.1583
3/5/1993,26.0854
3/8/1993,26.6683
3/9/1993,26.5772
3/10/1993,26.6319
3/11/1993,26.559
3/12/1993,26.2858
3/15/1993,26.4133
3/16/1993,26.4133
3/17/1993,26.2493
3/18/1993,26.4133
3/19/1993,26.3735
3/22/1993,26.2271
3/23/1993,26.282
3/24/1993,26.282
3/25/1993,26.4467
3/26/1993,26.3003
3/29/1993,26.4101
3/30/1993,26.4833
3/31/1993,26.465
4/1/1993,26.3735
4/2/1993,25.8244
4/5/1993,25.9526
4/6/1993,25.8794
4/7/1993,25.9708
4/8/1993,25.9342
4/12/1993,26.3003
4/13/1993,26.3552
4/14/1993,26.3186
4/15/1993,26.3186
4/16/1993,26.3186
4/19/1993,26.2088
4/20/1993,26.0807
4/21/1993,26.0624
4/22/1993,25.7329
4/23/1993,25.6231
4/26/1993,25.4218
4/27/1993,25.6963
4/28/1993,25.6414
4/29/1993,25.7512
4/30/1993,25.7878
5/3/1993,25.9526
5/4/1993,26.044
5/5/1993,26.1173
5/6/1993,26.0258
5/7/1993,25.9708
5/10/1993,26.0258
5/11/1993,26.1356
5/12/1993,26.099
5/13/1993,25.7878
5/14/1993,25.7695
5/17/1993,25.861
5/18/1993,25.8428
5/19/1993,26.3735
5/20/1993,26.4467
5/21/1993,26.2088
5/24/1993,26.3186
5/25/1993,26.3735
5/26/1993,26.7029
5/27/1993,26.6114
5/28/1993,26.4833
6/1/1993,26.7395
6/2/1993,26.7029
6/3/1993,26.6114
6/4/1993,26.5199
6/7/1993,26.4284
6/8/1993,26.1905
6/9/1993,26.282
6/10/1993,26.3003
6/11/1993,26.4101
6/14/1993,26.3735
6/15/1993,26.3186
6/16/1993,26.3735
6/17/1993,26.465
6/18/1993,26.2486
6/21/1993,26.3039
6/22/1993,26.3224
6/23/1993,26.0827
6/24/1993,26.433
6/25/1993,26.4145
6/28/1993,26.7094
6/29/1993,26.5804
6/30/1993,26.5804
7/1/1993,26.5067
7/2/1993,26.3592
7/6/1993,26.0827
7/7/1993,26.1564
7/8/1993,26.4514
7/9/1993,26.5251
7/12/1993,26.5067
7/13/1993,26.4882
7/14/1993,26.5804
7/15/1993,26.4698
7/16/1993,26.3961
7/19/1993,26.3776
7/20/1993,26.4514
7/21/1993,26.433
7/22/1993,26.2486
7/23/1993,26.3776
7/26/1993,26.5251
7/27/1993,26.5067
7/28/1993,26.4514
7/29/1993,26.5988
7/30/1993,26.4514
8/2/1993,26.5251
8/3/1993,26.5436
8/4/1993,26.5436
8/5/1993,26.4882
8/6/1993,26.5251
8/9/1993,26.6726
8/10/1993,26.6542
8/11/1993,26.6542
8/12/1993,26.5804
8/13/1993,26.6173
8/16/1993,26.7647
8/17/1993,26.8569
8/18/1993,27.0043
8/19/1993,27.0043
8/20/1993,27.0228
8/23/1993,26.9675
8/24/1993,27.2624
8/25/1993,27.2809
8/26/1993,27.2993
8/27/1993,27.2809
8/30/1993,27.3915
8/31/1993,27.4652
9/1/1993,27.4283
9/2/1993,27.3361
9/3/1993,27.3546
9/7/1993,27.1703
9/8/1993,27.0781
9/9/1993,27.1334
9/10/1993,27.373
9/13/1993,27.3915
9/14/1993,27.2809
9/15/1993,27.3546
9/16/1993,27.244
9/17/1993,27.1915
9/20/1993,26.9689
9/21/1993,26.8762
9/22/1993,27.0987
9/23/1993,27.2471
9/24/1993,27.1729
9/27/1993,27.4697
9/28/1993,27.4141
9/29/1993,27.3213
9/30/1993,27.2657
10/1/1993,27.3955
10/4/1993,27.4326
10/5/1993,27.3955
10/6/1993,27.377
10/7/1993,27.3028
10/8/1993,27.3399
10/11/1993,27.3955
10/12/1993,27.4326
10/13/1993,27.4326
10/14/1993,27.785
10/15/1993,27.9334
10/18/1993,27.8592
10/19/1993,27.6552
10/20/1993,27.6923
10/21/1993,27.6552
10/22/1993,27.5254
10/25/1993,27.5996
10/26/1993,27.581
10/27/1993,27.5996
10/28/1993,27.8036
10/29/1993,27.8036
11/1/1993,27.8778
11/2/1993,27.8592
11/3/1993,27.5068
11/4/1993,27.21
11/5/1993,27.3399
11/8/1993,27.377
11/9/1993,27.3955
11/10/1993,27.5996
